TIME(S),GENERATION,COUNT,MALE%,SIZE,SPEED,V_RADIUS,V_ANGLE,VA_BOOST_LIKELIHOOD,VA_BOOST_STRENGTH,M_ENERGY_TO_OFFSPRING%,F_ENERGY_TO_OFFSPRING%,MTF_OFFSPRING%,M_DESIRABILITY%,F_STANDARDS%,F_GESTATION_PERIOD,MTV_DIG%,MATE_ENERGY_THRESH,BOREDOM_THRESH,EXPLOREMTP
1961,12,53,0.6415094,2.841055,0.9293607,10.04103,7.922257,0,0.1453028,0.2068139,0.2566457,0.5019282,0.3756197,0.7497104,5.268691,0.4013366,0.3728446,12.09519,21.17523,
1981,12,53,0.6415094,2.818182,0.9261434,10.21839,7.917778,0,0.1434395,0.2047824,0.2545039,0.5010071,0.3741828,0.7549359,5.2536,0.4023033,0.3700451,12.01194,20.99372,
2001,12,54,0.6296296,2.816057,0.9281853,10.29401,7.915592,0,0.1432964,0.2076802,0.2526236,0.5004761,0.373548,0.7545224,5.238751,0.4016627,0.3750814,12.08323,21.03843,
2021,12,56,0.625,2.827083,0.9301588,10.40703,7.90046,0,0.1416623,0.2077419,0.2551148,0.5076468,0.3716154,0.7462727,5.285011,0.4018072,0.3738362,12.15088,20.66516,
2041,12,58,0.6034483,2.837735,0.9311929,10.58329,7.888462,0,0.1412375,0.2086792,0.2596515,0.5060585,0.3742279,0.7501947,5.278503,0.4018503,0.3718,12.17806,20.82765,
2061,12,61,0.5901639,2.838469,0.9421744,10.57106,7.837419,0,0.1420651,0.2118103,0.2600484,0.5039701,0.3775785,0.7539416,5.24068,0.4047612,0.3759049,12.18427,21.43484,
2081,12,64,0.59375,2.843632,0.9377124,10.70112,7.844045,0,0.1428222,0.2142499,0.2548172,0.5047513,0.3754876,0.7514395,5.232622,0.4020007,0.3725656,12.13325,21.60092,
2101,12,74,0.5675676,2.828315,0.9404696,11.04114,7.77241,0,0.1389723,0.2194023,0.254018,0.5065261,0.3785438,0.7604443,5.225217,0.4027947,0.3671869,11.94146,21.88995,
2121,12,93,0.5053763,2.851453,0.9386665,10.28485,7.768956,0,0.1368234,0.2194202,0.2375858,0.5187201,0.3879153,0.7669177,5.182758,0.4005423,0.3662677,11.51686,22.38734,
2141,12,115,0.5043478,2.871314,0.9352332,9.763329,7.731168,0,0.1382285,0.2202612,0.2331185,0.5172213,0.3898464,0.7682849,5.108985,0.4004696,0.3650777,11.4704,22.27115,
2161,12,137,0.4890511,2.87836,0.9358381,10.13756,7.707671,0,0.1410889,0.2289625,0.2318649,0.5153403,0.3831952,0.7676494,5.036496,0.4002579,0.3544259,11.38985,22.35208,
2181,12,184,0.4347826,2.857102,0.9311058,10.87271,7.508335,0,0.1434976,0.2107926,0.2264378,0.5090303,0.3817498,0.783137,4.861519,0.3973652,0.3423868,11.35661,22.54075,
2201,14,279,0.483871,2.845375,0.9214283,11.48191,7.342078,0,0.1447666,0.2063939,0.2223284,0.4981326,0.3691568,0.7681404,4.921185,0.3961154,0.3319429,11.27383,22.75296,
2221,15,393,0.5012723,2.856438,0.9223592,11.61224,7.325697,0,0.1454004,0.2014773,0.2215144,0.4951086,0.3626366,0.7717755,4.937807,0.3930768,0.3228525,11.13998,23.11296,
2241,15,427,0.5081967,2.869955,0.9222829,11.40701,7.299659,0,0.1444376,0.2017783,0.2197129,0.4983775,0.3630835,0.7755248,4.952649,0.3921021,0.3224438,11.02288,22.8575,
